timezone,temp,humidity,description
2025-02-19 05:56:57,0.76,29,clear sky
2025-02-19 05:57:13,0.76,29,clear sky
2025-02-19 06:10:57,0.76,29,clear sky
2025-02-19 06:42:35,1.76,25,clear sky
2025-02-19 06:54:06,1.76,25,clear sky
2025-02-19 07:26:52,-0.42,18,clear sky
2025-02-19 07:39:27,0.76,25,clear sky
2025-02-19 07:50:40,0.76,25,clear sky
2025-02-19 08:39:13,0.76,29,clear sky
2025-02-19 08:52:01,0.76,29,clear sky
2025-02-19 09:30:38,-1.24,29,clear sky
2025-02-19 09:41:58,-1.24,29,clear sky
2025-02-19 09:53:30,-1.24,29,clear sky
2025-02-19 10:38:19,-3.24,39,clear sky
2025-02-19 10:49:48,-3.24,39,clear sky
2025-02-19 11:22:36,-3.24,43,clear sky
2025-02-19 11:37:23,-3.24,43,clear sky
2025-02-19 11:49:11,-3.24,43,clear sky
2025-02-19 13:01:59,-4.24,50,clear sky
2025-02-19 13:35:50,-5.24,50,clear sky
2025-02-19 13:47:32,-5.24,50,clear sky
2025-02-19 13:58:57,-5.24,50,clear sky
2025-02-19 14:37:16,-5.24,54,clear sky
2025-02-19 14:49:12,-5.24,54,clear sky
2025-02-19 15:31:35,-6.24,58,clear sky
2025-02-19 15:43:35,-6.24,58,clear sky
2025-02-19 15:55:17,-6.24,58,clear sky
2025-02-19 16:42:08,-6.24,58,clear sky
2025-02-19 16:53:54,-6.24,58,clear sky
2025-02-19 17:31:30,-8.24,62,clear sky
2025-02-19 17:43:09,-8.24,62,clear sky
2025-02-19 17:54:40,-8.24,62,clear sky
2025-02-19 18:42:08,-8.24,67,clear sky
2025-02-19 18:53:58,-8.24,67,clear sky
